trade_date,open,high,low,close,vol,pre_close
2022-03-11,92.8,94.25,90.45,92.96,50569.15,94.3
2022-03-14,90.0,91.0,85.85,86.0,93027.84,92.96
2022-03-15,85.0,85.0,81.0,82.39,70644.58,86.0
2022-03-16,84.3,87.0,82.7,86.42,66340.04,82.39
2022-03-17,87.82,88.59,85.13,86.72,65993.39,86.42
2022-03-18,86.07,86.68,84.8,85.89,64658.35,86.72
2022-03-21,85.25,86.21,84.18,86.0,51577.53,85.89
2022-03-22,85.07,85.6,83.5,84.05,59003.7,86.0
2022-03-23,84.12,85.01,82.81,84.52,53188.06,84.05
2022-03-24,83.9,83.9,81.81,82.34,65464.71,84.52
2022-03-25,82.09,82.2,79.37,80.09,75548.8,82.34
2022-03-28,78.8,79.33,76.4,78.0,79481.83,80.09
2022-03-29,78.35,79.23,76.05,76.4,77733.3,78.0
2022-03-30,76.8,80.36,76.7,79.58,115866.82,76.4
2022-03-31,78.93,79.7,78.2,79.01,51051.45,79.58
2022-04-01,78.37,82.4,78.06,81.7,100474.16,79.01
2022-04-06,80.9,80.9,79.13,79.73,84094.32,81.7
2022-04-07,80.01,80.95,78.3,78.71,57559.33,79.73
2022-04-08,78.26,79.1,77.26,77.8,46631.27,78.71
2022-04-11,77.29,77.31,73.0,73.66,99496.59,77.8
2022-04-12,73.6,81.03,73.21,80.68,132222.72,73.66
2022-04-13,79.3,83.68,77.75,81.78,160520.89,80.68
2022-04-14,82.3,86.36,82.3,84.93,123644.39,81.78
2022-04-15,83.49,86.3,83.01,84.07,81901.96,84.93
2022-04-18,83.3,84.72,82.0,84.44,54414.38,84.07
2022-04-19,84.54,85.95,83.81,84.55,45744.58,84.44
2022-04-20,84.0,88.0,82.5,85.78,84412.02,84.55
2022-04-21,85.06,85.9,82.98,83.98,60105.66,85.78
2022-04-22,83.28,84.95,82.1,84.68,48336.58,83.98
2022-04-25,82.8,84.26,79.99,81.4,83353.93,84.68
2022-04-26,81.61,84.4,81.52,82.57,77154.83,81.4
2022-04-27,82.0,84.1,80.75,83.69,70865.34,82.57
2022-04-28,82.5,85.15,82.21,82.9,62249.69,83.69
2022-04-29,83.48,87.5,83.48,86.3,135489.95,82.9
2022-05-05,87.0,87.86,85.28,86.24,78024.48,86.3
2022-05-06,84.6,84.6,80.5,81.0,99311.12,86.24
2022-05-09,78.68,80.85,76.6,79.7,56117.4,81.0
2022-05-10,78.0,82.85,77.5,82.43,76301.77,79.7
2022-05-11,82.44,86.92,82.43,84.9,110313.28,82.43
2022-05-12,84.1,87.11,84.1,85.6,56874.91,84.9
2022-05-13,85.59,86.5,84.6,85.11,35551.91,85.6
2022-05-16,86.3,88.5,84.5,85.76,62331.11,85.11
2022-05-17,85.97,86.5,85.03,85.99,33434.9,85.76
2022-05-18,85.99,86.18,84.5,84.85,40400.19,85.99
2022-05-19,83.4,85.36,83.0,83.9,37018.14,84.85
2022-05-20,84.46,86.89,83.96,85.97,68282.09,83.9
2022-05-23,86.22,86.24,84.39,85.37,49795.45,85.97
2022-05-24,85.4,85.72,83.81,84.04,42077.46,85.37
2022-05-25,83.86,84.74,83.6,84.03,41151.54,84.04
2022-05-26,84.6,87.1,83.38,86.02,74856.18,84.03
2022-05-27,86.38,87.1,84.7,85.18,50970.54,86.02
2022-05-30,88.6,93.7,88.6,90.9,160272.56,85.18
2022-05-31,91.0,93.5,90.37,92.75,109556.21,90.9
2022-06-01,91.9,93.3,90.86,91.62,69221.6,92.75
2022-06-02,90.12,91.3,89.49,89.95,55602.07,91.62
2022-06-06,90.55,93.65,88.77,93.0,77518.11,89.95
2022-06-07,92.9,94.5,91.23,93.06,64436.2,93.0
2022-06-08,92.5,95.8,92.06,94.46,71883.17,93.06
2022-06-09,94.0,94.5,91.46,92.0,50502.74,94.46
2022-06-10,91.5,92.1,90.03,92.1,51769.28,92.0
2022-06-13,91.0,91.5,88.31,90.55,85215.6,92.1
2022-06-14,89.0,93.0,88.88,91.95,64610.31,90.55
2022-06-15,91.82,92.88,90.41,91.54,80034.5,91.95
2022-06-16,91.6,92.65,89.01,90.15,73476.02,91.54
2022-06-17,89.19,91.95,89.07,91.56,65681.22,90.15
2022-06-20,92.14,95.0,92.14,93.98,84963.34,91.56
2022-06-21,94.0,95.21,92.38,93.8,57950.46,93.98
2022-06-22,93.8,94.9,92.83,92.87,43034.11,93.8
2022-06-23,92.87,93.5,92.26,93.27,46850.44,92.87
2022-06-24,93.3,97.0,93.0,95.59,74703.83,93.27
2022-06-27,97.0,101.9,97.0,99.65,102070.43,95.59
2022-06-28,98.8,101.06,97.0,100.0,60452.06,99.65
2022-06-29,99.88,103.98,99.7,102.29,89780.08,100.0
2022-06-30,103.0,107.37,103.0,103.92,89773.93,102.29
2022-07-01,103.38,104.49,101.0,102.58,44830.04,103.92
2022-07-04,101.58,104.88,101.35,104.17,47831.59,102.58
2022-07-05,104.17,104.49,99.0,101.52,69828.9,104.17
2022-07-06,100.68,101.2,97.0,98.18,72921.47,101.52
2022-07-07,98.0,99.8,95.04,98.93,60905.91,98.18
2022-07-08,98.92,99.86,98.0,98.72,31510.35,98.93
2022-07-11,97.0,98.0,95.61,96.69,43573.24,98.72
2022-07-12,96.5,97.25,95.11,95.67,27790.6,96.69
2022-07-13,95.98,98.88,95.8,96.89,57803.68,95.67
2022-07-14,96.42,96.82,94.4,96.0,51331.53,96.89
2022-07-15,95.85,99.98,95.4,96.84,56292.72,96.0
2022-07-18,96.84,97.5,92.66,96.32,66047.81,96.84
2022-07-19,94.71,95.98,93.26,95.11,44109.48,95.22
2022-07-20,95.2,97.2,94.58,95.56,42872.8,95.11
2022-07-21,94.5,97.76,94.5,97.01,60475.31,95.56
2022-07-22,97.01,97.49,95.7,96.21,35997.21,97.01
2022-07-25,95.3,101.0,94.0,100.19,82790.54,96.21
2022-07-26,99.97,102.5,99.52,100.49,46579.65,100.19
2022-07-27,101.52,103.87,99.9,100.0,42182.33,100.49
2022-07-28,100.1,102.99,98.66,100.48,47829.36,100.0
2022-07-29,100.09,100.48,98.02,98.51,70879.47,100.48
2022-08-01,100.0,108.36,99.25,108.06,157062.85,98.51
2022-08-02,107.43,108.92,105.8,106.28,72443.19,108.06
2022-08-03,106.18,106.99,102.5,102.97,54493.07,106.28
2022-08-04,103.88,104.13,101.76,103.58,43476.21,102.97
2022-08-05,103.5,105.18,102.8,103.04,44076.84,103.58
2022-08-08,101.02,105.85,100.12,103.99,64926.45,103.04
2022-08-09,104.02,110.0,103.12,109.5,66661.68,103.99
2022-08-10,109.3,109.3,103.53,105.04,69395.72,109.5
2022-08-11,105.1,106.96,102.77,106.48,42801.06,105.04
2022-08-12,105.99,106.88,103.67,104.5,29932.42,106.48
2022-08-15,103.66,105.13,103.0,103.66,27754.99,104.5
2022-08-16,103.67,104.0,101.88,102.96,31983.02,103.66
2022-08-17,102.5,106.0,100.2,104.72,49825.03,102.96
2022-08-18,104.44,106.6,103.72,104.97,49004.5,104.72
2022-08-19,104.96,106.6,103.1,103.52,26381.84,104.97
2022-08-22,103.36,104.47,101.8,102.97,28483.0,103.52
2022-08-23,102.19,102.79,99.99,100.57,49819.21,102.97
2022-08-24,100.13,100.49,98.5,98.97,36177.46,100.57
2022-08-25,99.0,102.0,98.98,100.52,37514.88,98.97
2022-08-26,104.0,110.2,104.0,108.0,144819.65,100.52
2022-08-29,107.96,109.5,105.43,108.5,66879.55,108.0
2022-08-30,108.39,110.32,107.0,108.48,52310.97,108.5
2022-08-31,107.69,109.65,107.33,108.0,41334.16,108.48
2022-09-01,107.35,107.99,105.6,105.97,46414.32,108.0
2022-09-02,105.7,106.5,101.05,102.0,68604.8,105.97
2022-09-05,101.8,101.8,97.0,99.0,79682.59,102.0
2022-09-06,99.09,100.33,96.89,98.67,56322.75,99.0
2022-09-07,98.51,98.6,96.82,97.29,47799.5,98.67
2022-09-08,97.99,98.87,97.0,97.2,42167.61,97.29
2022-09-09,97.22,97.53,96.0,96.67,44806.26,97.2
2022-09-13,97.27,101.15,96.85,100.05,75735.59,96.67
2022-09-14,98.52,101.0,98.3,100.25,40835.46,100.05
2022-09-15,99.79,104.55,99.79,102.29,57712.72,100.25
2022-09-16,101.58,104.0,100.25,101.12,43687.57,102.29
2022-09-19,101.57,102.5,98.5,101.9,56378.06,101.12
2022-09-20,102.39,103.2,100.13,102.4,30663.3,101.9
