trade_date,open,high,low,close,vol,pre_close
2022-01-04,150.7,150.7,143.97,144.6,54137.97,151.32
2022-01-05,145.98,145.98,140.01,140.48,38237.58,144.6
2022-01-06,142.51,142.89,137.6,138.35,32455.24,140.48
2022-01-07,137.36,138.7,130.43,131.5,63195.2,138.35
2022-01-10,130.1,131.2,126.15,131.0,56002.01,131.5
2022-01-11,131.48,131.59,125.82,126.38,33056.55,131.0
2022-01-12,126.32,130.5,125.6,129.5,33881.41,126.38
2022-01-13,129.5,131.55,128.2,129.1,35425.78,129.5
2022-01-14,128.43,129.44,126.62,127.0,25859.63,129.1
2022-01-17,126.04,128.68,124.75,128.45,26162.76,127.0
2022-01-18,128.5,134.37,126.1,130.82,29794.67,128.45
2022-01-19,130.5,130.6,125.53,127.5,29369.34,130.82
2022-01-20,127.49,133.66,126.54,133.12,47856.58,127.5
2022-01-21,132.31,138.1,130.19,135.22,46389.92,133.12
2022-01-24,135.98,138.83,134.83,137.37,29192.48,135.22
2022-01-25,137.09,138.3,133.4,134.5,22570.99,137.37
2022-01-26,133.32,139.4,132.68,138.4,24822.92,134.5
2022-01-27,140.0,142.36,134.92,135.4,27639.84,138.4
2022-01-28,134.0,136.88,131.5,133.4,19996.52,135.4
2022-02-07,138.6,143.77,129.19,132.07,50673.69,133.4
2022-02-08,134.04,134.9,126.05,129.08,35587.11,132.07
2022-02-09,129.0,138.33,128.4,137.53,42677.97,129.08
2022-02-10,138.17,141.5,135.91,138.58,32804.06,137.53
2022-02-11,138.58,139.0,133.33,133.5,37050.98,138.58
2022-02-14,133.84,141.15,132.78,138.32,30096.1,133.5
2022-02-15,136.84,144.55,136.25,142.0,30493.95,138.32
2022-02-16,142.41,145.49,141.4,144.27,25153.73,142.0
2022-02-17,144.85,145.8,140.99,142.02,17871.34,144.27
2022-02-18,141.0,142.97,139.9,142.21,16613.69,142.02
2022-02-21,143.02,143.02,138.2,140.83,23112.55,142.21
2022-02-22,140.38,141.98,137.06,140.39,21394.06,140.83
2022-02-23,140.0,140.9,137.86,139.38,20823.17,140.39
2022-02-24,138.88,138.95,132.18,134.05,30864.92,139.38
2022-02-25,135.5,138.8,133.12,135.61,39380.72,134.05
2022-02-28,135.39,135.39,131.5,133.8,25665.65,135.61
2022-03-01,135.5,143.73,135.5,142.32,58673.17,133.8
2022-03-02,139.95,141.0,136.38,136.64,32396.62,142.32
2022-03-03,136.7,137.46,131.68,135.88,35868.59,136.64
2022-03-04,134.0,137.15,132.69,133.77,20134.96,135.88
2022-03-07,132.66,132.99,122.5,123.76,47838.76,133.77
2022-03-08,123.8,126.0,116.18,118.5,59476.45,123.76
2022-03-09,117.97,120.1,112.47,117.12,60740.83,118.5
2022-03-10,121.0,124.65,119.36,122.99,43330.38,117.12
