trade_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2023-02-09,600132.SH,20230209,120.0,126.77,118.51,125.6,120.03,5.57,4.6405,44930.45,559760.939
2023-02-10,600132.SH,20230210,126.07,128.88,124.08,128.0,125.6,2.4,1.9108,28953.26,367128.42
2023-02-13,600132.SH,20230213,128.02,137.0,127.0,136.0,128.0,8.0,6.25,62181.77,837397.828
2023-02-14,600132.SH,20230214,137.2,137.69,134.7,136.76,136.0,0.76,0.5588,21657.91,295137.712
2023-02-15,600132.SH,20230215,136.76,139.17,135.49,136.56,136.76,-0.2,-0.1462,18364.56,251718.878
2023-02-16,600132.SH,20230216,136.0,139.99,134.0,137.28,136.56,0.72,0.5272,21354.51,294082.169
2023-02-17,600132.SH,20230217,136.0,140.5,135.0,135.8,137.28,-1.48,-1.0781,24021.39,330090.797
2023-02-20,600132.SH,20230220,135.8,136.8,132.0,136.47,135.8,0.67,0.4934,26255.38,354112.811
2023-02-21,600132.SH,20230221,136.47,136.8,133.26,134.79,136.47,-1.68,-1.231,16533.66,222338.616
2023-02-22,600132.SH,20230222,133.69,139.0,133.5,135.94,134.79,1.15,0.8532,14801.19,202116.11
2023-02-23,600132.SH,20230223,135.94,137.4,133.14,133.88,135.94,-2.06,-1.5154,10743.22,144710.729
2023-02-24,600132.SH,20230224,133.9,134.05,130.8,132.12,133.88,-1.76,-1.3146,15590.5,205651.101
2023-02-27,600132.SH,20230227,131.06,136.68,129.68,135.62,132.12,3.5,2.6491,28361.43,380334.046
2023-02-28,600132.SH,20230228,135.98,138.38,134.66,137.45,135.62,1.83,1.3494,32152.16,440046.925
2023-03-01,600132.SH,20230301,137.44,137.9,133.61,136.61,137.45,-0.84,-0.6111,25373.99,344877.741
2023-03-02,600132.SH,20230302,138.88,139.0,135.83,137.41,136.61,0.8,0.5856,25767.67,354558.867
2023-03-03,600132.SH,20230303,137.48,138.83,133.98,135.36,137.41,-2.05,-1.4919,25012.07,338461.493
2023-03-06,600132.SH,20230306,134.92,137.5,133.4,136.1,135.36,0.74,0.5467,17100.19,232755.103
2023-03-07,600132.SH,20230307,136.22,137.0,130.88,131.24,136.1,-4.86,-3.5709,30023.42,399658.323
2023-03-08,600132.SH,20230308,130.72,132.2,129.5,130.8,131.24,-0.44,-0.3353,16180.78,211585.198
2023-03-09,600132.SH,20230309,130.83,131.44,127.69,129.7,130.8,-1.1,-0.841,25562.2,331195.349
2023-03-10,600132.SH,20230310,128.91,129.69,125.38,126.96,129.7,-2.74,-2.1126,29060.61,368186.481
2023-03-13,600132.SH,20230313,126.88,128.88,125.98,128.0,126.96,1.04,0.8192,21754.56,278022.095
2023-03-14,600132.SH,20230314,128.38,128.38,125.5,126.2,128.0,-1.8,-1.4063,22176.78,281284.592
2023-03-15,600132.SH,20230315,127.6,127.6,123.71,124.03,126.2,-2.17,-1.7195,24146.72,300829.934
2023-03-16,600132.SH,20230316,123.3,124.5,121.12,122.81,124.03,-1.22,-0.9836,19408.79,238144.37
2023-03-17,600132.SH,20230317,123.21,123.97,118.64,119.26,122.81,-3.55,-2.8906,35853.04,432343.584
2023-03-20,600132.SH,20230320,119.36,119.56,115.48,116.36,119.26,-2.9,-2.4317,30427.26,355714.972
2023-03-21,600132.SH,20230321,116.21,118.55,115.24,117.3,116.36,0.94,0.8078,30871.15,360665.9
2023-03-22,600132.SH,20230322,117.5,119.3,114.0,114.7,117.3,-2.6,-2.2165,34561.39,400452.245
2023-03-23,600132.SH,20230323,115.1,116.99,113.0,116.13,114.7,1.43,1.2467,39171.72,454210.12
2023-03-24,600132.SH,20230324,115.99,118.29,114.11,116.39,116.13,0.26,0.2239,36721.14,426750.124
2023-03-27,600132.SH,20230327,116.45,116.87,113.88,114.81,116.39,-1.58,-1.3575,35447.04,406420.985
2023-03-28,600132.SH,20230328,115.5,116.64,114.0,116.31,114.81,1.5,1.3065,36771.55,424804.018
2023-03-29,600132.SH,20230329,116.82,122.0,116.17,121.89,116.31,5.58,4.7975,61620.41,737999.022
2023-03-30,600132.SH,20230330,122.0,128.5,122.0,127.9,121.89,6.01,4.9307,61527.21,776458.88
2023-03-31,600132.SH,20230331,128.77,128.96,123.89,125.0,127.9,-2.9,-2.2674,49574.91,621943.383
2023-04-03,600132.SH,20230403,124.32,125.59,122.22,123.57,125.0,-1.43,-1.144,34082.84,421660.086
